ID,FIR_ID,Name,DOB,Gender,Socioeconomic_Status
178,143,Nathan Mammen,1984-07-07,Male,Lower-Middle
179,144,Dayamai Verma,1958-10-24,Female,Lower
180,145,Chaman Kala,1997-07-13,Female,Lower-Middle
181,146,Raghav Vaidya,1948-01-10,Other,Upper
182,147,Ekbal Bhardwaj,1973-08-01,Male,Lower
183,148,Hritik Saxena,2003-11-25,Male,Upper
184,149,Daksha Yadav,1983-07-27,Female,Middle
185,149,Banjeet Lad,1997-07-11,Male,Lower
186,150,Gayathri Bala,1955-09-04,Female,Lower
187,151,Yutika Kohli,1972-07-11,Female,Middle
188,152,Neel Loke,1953-08-27,Male,Lower
189,153,Dayamai Goyal,2005-10-25,Female,Middle
190,154,Hemang Ramachandran,1947-02-02,Male,Lower
191,154,Aachal Trivedi,2011-02-03,Female,Lower-Middle
192,155,Mugdha Sidhu,2011-04-05,Female,Middle
193,156,Abdul Sama,2011-04-18,Male,Upper-Middle
194,156,Chatura Khalsa,2008-10-28,Male,Middle
195,157,Eshana Prakash,1945-11-20,Female,Lower-Middle
196,158,Ucchal Subramanian,1954-06-22,Female,Lower-Middle
197,158,George Chandra,2013-06-12,Male,Lower
198,159,Anvi Manda,2019-10-16,Female,Middle
199,160,Chandran Mistry,1959-07-21,Other,Lower
200,161,Indrajit Basu,1976-04-26,Male,Middle
201,162,Rishi Mishra,1990-03-31,Male,Lower-Middle
202,163,Lavanya Sanghvi,2009-02-17,Female,Upper
203,163,Chatura Chacko,2000-02-24,Male,Upper-Middle
204,164,Ojasvi Kashyap,1948-04-25,Female,Lower-Middle
205,165,Ladli Bali,2011-10-03,Female,Middle
206,165,Jyoti Misra,1963-04-28,Female,Middle
207,166,Dakshesh Seshadri,1952-10-04,Male,Lower
208,167,Bakhshi Prakash,1959-02-15,Male,Lower
209,168,Rushil Dhar,1998-10-14,Male,Middle
210,169,Aashi Shere,1983-04-10,Female,Middle
211,169,Dhriti Natarajan,1979-02-05,Female,Lower
212,170,Jeet Rao,1964-05-23,Male,Lower
213,171,Harinakshi Ratti,1946-01-02,Female,Upper-Middle
214,171,Harita Chowdhury,2003-03-02,Female,Middle
215,172,Yashodhara Shah,1995-06-18,Female,Middle
216,173,Abdul Dhaliwal,1977-02-05,Male,Upper-Middle
217,174,Raksha Kashyap,2014-01-22,Female,Lower
218,174,Gopal Butala,1946-02-11,Male,Upper
219,175,Pratyush Sen,1978-02-08,Male,Upper-Middle
220,175,Brijesh Srinivasan,1987-12-06,Male,Middle
221,176,Lajita Purohit,1975-02-28,Female,Lower-Middle
222,177,Darsh Bal,1967-09-17,Male,Lower
223,178,Max Batta,1957-07-27,Male,Middle
224,178,Krisha Gulati,1957-05-06,Female,Lower
225,179,Qarin Varghese,2011-02-28,Male,Lower
226,180,Imaran Nori,2007-04-19,Male,Middle
227,181,Xiti Tailor,1956-08-14,Female,Middle
228,182,Amara Handa,1949-12-24,Female,Upper-Middle
229,183,Samesh Tella,2007-01-15,Male,Lower-Middle
230,184,Nidra Borah,1963-03-03,Female,Lower
231,185,Rayaan Agrawal,1990-06-11,Male,Lower-Middle
232,185,Rohan Kulkarni,2019-02-23,Male,Middle
233,186,Oeshi Joshi,1978-01-27,Female,Lower
234,187,Sanya Lad,1961-03-24,Female,Lower-Middle
235,188,Saksham Shankar,2008-10-16,Male,Middle
236,188,Darsh Andra,1998-04-24,Other,Upper-Middle
237,189,Jasmit Mukherjee,1989-09-17,Female,Lower
238,189,Jackson Buch,2009-10-31,Male,Upper
239,190,Anthony Kari,1976-04-07,Male,Lower-Middle
240,191,Kevin Salvi,2006-12-10,Male,Lower-Middle
241,192,Yahvi Lalla,1991-11-06,Female,Lower
242,192,Aadi Mittal,2019-06-01,Male,Upper-Middle
243,193,Anthony Mitter,2005-04-03,Male,Middle
244,194,Dalbir Chanda,1992-05-31,Male,Middle
245,195,Advaith Om,1984-12-08,Male,Lower
246,196,Wyatt Behl,2007-06-18,Male,Lower-Middle
247,197,Mason Sood,2001-10-27,Male,Lower-Middle
248,197,Charles Chokshi,1952-07-04,Male,Lower-Middle
249,198,Warjas Ramanathan,1987-04-10,Male,Lower
250,199,Radhika Mann,1993-04-26,Female,Lower
251,200,Panini Shenoy,1965-12-06,Female,Lower-Middle
252,200,Forum Ganesan,1998-04-05,Female,Middle
253,201,Neelima Tripathi,1991-07-08,Female,Lower
254,202,Advik Jani,1946-12-14,Male,Lower-Middle
255,202,Sachi Wadhwa,1993-01-06,Female,Middle
256,203,Abdul Saraf,1997-02-10,Male,Upper
257,204,Samar Bir,1975-04-09,Male,Lower
258,205,Tara Soni,1950-02-17,Female,Lower-Middle
259,205,Urvi Shan,2005-04-15,Female,Middle
260,206,Vivaan Baria,1973-06-14,Male,Lower-Middle
261,207,Ekbal Puri,1975-11-11,Male,Lower
262,208,Vivaan Gour,2005-12-20,Male,Lower
263,209,Brijesh Bhakta,2005-02-13,Male,Upper-Middle
264,210,Praneel Dasgupta,1963-03-26,Male,Upper-Middle
265,211,Gabriel Grover,1949-12-15,Male,Middle
266,212,Fiyaz Mani,1972-12-27,Male,Middle
267,213,Kala Hans,1978-06-14,Female,Lower-Middle
268,214,Eshana Kale,1976-10-22,Female,Lower-Middle
269,214,Meera Raghavan,1948-08-09,Female,Upper-Middle
270,215,Akshay Purohit,1980-09-23,Male,Upper-Middle
271,216,Aarav Rastogi,1992-04-28,Male,Lower-Middle
272,217,Girish Om,2005-02-05,Male,Lower-Middle
273,218,Neel Dey,1987-02-12,Male,Lower
274,219,Ekanta Tiwari,1992-04-21,Female,Lower-Middle
275,219,Warda Bava,1950-01-10,Female,Lower
276,220,Kevin Kulkarni,2017-10-24,Male,Lower
277,221,Mitali Wali,2010-09-17,Female,Lower-Middle
278,221,Jason Chhabra,1961-05-20,Male,Lower
279,222,Lavanya Ganesan,1994-10-26,Female,Lower-Middle
280,222,Nimrat Dhar,2017-08-02,Female,Lower
281,223,Neel Kota,2005-12-21,Male,Lower
282,224,Nidhi Deo,1995-03-27,Female,Lower-Middle
283,225,Amruta Srinivasan,2021-05-12,Female,Upper
284,226,Udant Ranganathan,1949-04-07,Male,Middle
285,227,Ansh Karnik,1963-03-28,Male,Lower-Middle
286,227,Darsh Krish,1955-10-07,Male,Lower-Middle
287,228,Anay Chander,1989-11-27,Male,Upper
288,228,Triya Joshi,1963-06-18,Female,Lower-Middle
289,229,Wyatt Dutta,2016-03-23,Male,Middle
290,230,Isha Bose,1979-10-12,Female,Lower
291,231,Nilima Pathak,2001-02-27,Female,Lower-Middle
292,231,Dayita Som,1998-12-05,Female,Lower-Middle
293,232,Netra Contractor,2003-08-31,Female,Middle
294,233,Jacob Hayer,1970-05-29,Male,Middle
295,234,Warinder Agrawal,1948-03-04,Male,Lower-Middle
296,235,Chaaya Barman,1969-11-14,Female,Middle
297,236,Nachiket Nigam,1956-04-29,Male,Lower-Middle
298,237,Advaith Din,1967-03-16,Male,Middle
299,238,Benjamin Suresh,1994-08-25,Male,Lower
300,239,Rajeshri Magar,1954-08-18,Female,Upper-Middle
301,240,Manya Wagle,2013-05-09,Female,Lower
302,240,Bahadurjit Bhakta,1982-02-26,Male,Middle
303,241,Sarthak Deep,2009-01-08,Male,Lower-Middle
304,242,Adya Chaudhari,1993-12-02,Female,Lower-Middle
305,243,Tanmayi Sem,1979-12-13,Female,Middle
306,244,Frederick Behl,1976-10-24,Male,Middle
307,245,Christopher Srivastava,2018-04-15,Other,Upper-Middle
308,245,Mugdha Gulati,1972-12-24,Female,Lower-Middle
309,246,Ria Tripathi,2012-09-08,Female,Upper
310,247,Jagat Kalita,1999-09-09,Male,Lower
311,248,Unni Bawa,1957-07-02,Female,Upper-Middle
312,249,Oviya Sehgal,1966-06-06,Female,Middle
313,250,Ekalinga Rattan,2011-08-08,Male,Middle
314,251,Krish Wali,1992-02-11,Male,Lower-Middle
315,252,Victor Amble,1958-07-21,Male,Lower-Middle
316,253,Anthony Chhabra,2004-05-15,Male,Lower-Middle
317,253,Warhi Deo,1949-04-22,Female,Upper-Middle
318,254,Parth Borah,1963-04-28,Male,Middle
319,255,Darpan Dubey,2020-05-08,Male,Lower
320,256,Dev Khanna,1976-05-29,Male,Upper-Middle
321,257,Umang Aggarwal,1982-02-05,Male,Middle
322,258,William Oak,2014-05-03,Male,Lower-Middle
323,259,Dalaja Oza,2018-06-03,Female,Lower
324,259,Ojasvi Dash,1956-01-22,Female,Upper-Middle
325,260,Jagvi Sawhney,1956-11-13,Female,Lower-Middle
326,261,Gayathri Bahl,2009-01-17,Female,Lower-Middle
327,262,Veda Mittal,1960-08-07,Female,Upper-Middle
328,263,Gavin Mistry,2009-03-12,Male,Middle
329,264,Samesh Dutt,1997-12-31,Male,Lower
330,265,Oscar Buch,2015-12-01,Male,Lower-Middle
331,266,Bhavya Gokhale,1986-06-01,Female,Middle
332,267,Varenya Keer,2004-08-20,Female,Lower
333,268,Wakeeta Garg,1980-08-19,Female,Upper-Middle
334,268,Ikshita Mohan,1972-06-03,Female,Upper-Middle
335,269,Max Shere,2016-02-27,Male,Upper-Middle
336,270,Fitan Puri,1994-10-16,Male,Lower-Middle
337,271,Dayamai Nazareth,2000-10-21,Female,Middle
338,272,Jasmit Vasa,1951-05-23,Female,Middle
339,273,Arunima Kara,1982-04-24,Female,Upper-Middle
340,273,Manbir Dass,1985-05-31,Male,Middle
341,274,Omya Bedi,1949-09-11,Other,Middle
342,275,Luke Andra,1954-06-29,Male,Lower
343,276,Raagini Subramanian,1976-07-28,Female,Lower-Middle
344,277,Triya Datta,1984-09-23,Female,Lower-Middle
345,278,Samaksh Raja,1964-05-16,Male,Lower-Middle
346,278,Qadim Lal,1966-06-19,Male,Lower
347,279,Janya Sachar,1976-12-18,Female,Lower-Middle
348,280,Brijesh Loyal,1953-07-08,Male,Upper-Middle
349,280,Ojas Divan,2009-01-22,Male,Lower-Middle
350,281,Chatura Comar,2008-02-27,Male,Lower-Middle
351,281,Gavin Randhawa,1987-10-29,Male,Lower
352,282,Kai Swamy,1990-03-18,Male,Lower-Middle
353,282,Abha Apte,1954-06-27,Female,Middle
354,283,Edhitha Kapoor,1975-02-16,Female,Lower-Middle
355,284,Zarna Mahajan,2006-07-23,Female,Upper-Middle
356,285,Gautami Dugar,2018-11-08,Female,Lower-Middle
357,286,Ojasvi Sahni,2002-01-28,Female,Middle
358,287,Waida Butala,1993-07-26,Female,Middle
359,287,Aishani Ganguly,1968-02-25,Female,Lower
360,288,Finn Mitra,2008-10-25,Male,Lower-Middle
361,289,Tamanna Nair,1946-12-23,Female,Upper
362,289,Harrison Dhar,1947-09-13,Male,Lower-Middle
363,290,Baghyawati Sankaran,1986-06-13,Female,Lower-Middle
364,291,Samar Bir,1987-12-19,Male,Middle
365,292,Eta Seth,2014-01-10,Female,Lower-Middle
366,293,Kritika Nair,1988-10-29,Female,Lower-Middle
367,294,Ati Mander,1969-06-29,Female,Lower-Middle
368,295,David Rattan,2012-08-04,Male,Middle
369,296,Bhavani Sant,2005-10-23,Female,Middle
370,297,Krish Kar,1972-04-09,Male,Middle
371,298,Jack Ratta,1948-02-25,Male,Lower
372,299,Odika Kala,1970-06-22,Female,Lower
373,300,Harita Varghese,2009-05-04,Female,Upper-Middle
374,301,Oliver Shan,1972-07-01,Male,Middle
375,301,Chandran Kant,1979-01-20,Male,Upper-Middle
376,302,Wridesh Kaul,1983-04-08,Male,Lower
377,302,Jeet Joshi,1952-05-28,Male,Lower
378,303,Jyoti Sampath,1987-10-04,Female,Lower-Middle
379,304,Hemal Dua,1985-06-06,Female,Middle
380,305,Jonathan Bains,2018-11-09,Male,Middle
381,306,Girish Shanker,1966-12-10,Male,Lower
382,307,Jai Karpe,1992-09-27,Male,Lower
383,308,Ekiya Bora,1999-12-11,Other,Middle
384,309,Edhitha Kothari,1963-07-06,Female,Middle
385,310,Chanakya Balakrishnan,2011-11-18,Male,Lower
386,311,Rajeshri Parikh,1989-09-01,Female,Lower-Middle
387,312,Avi Loke,1952-08-28,Male,Lower
388,313,Faqid Doshi,1986-04-02,Male,Lower
389,314,Shravya Mody,1955-03-24,Female,Lower
390,314,Farhan Prabhu,1996-03-14,Male,Upper-Middle
391,315,Dominic Nagi,1977-03-10,Male,Lower-Middle
392,316,Xavier Varughese,1955-10-17,Male,Lower
393,316,Jeet Pai,1948-06-08,Male,Lower-Middle
394,317,Isaac Mukherjee,1980-02-04,Male,Lower-Middle
395,318,Vrinda Choudhary,1990-11-18,Female,Lower-Middle
396,318,Nirja Parmar,2013-01-24,Female,Lower
397,319,Rohan Sankaran,1976-12-02,Male,Upper-Middle
398,319,Dominic Mall,2001-04-12,Male,Middle
399,320,Adweta Sani,1961-11-29,Female,Lower-Middle
400,321,Ekani Borde,2018-07-18,Female,Lower-Middle
401,322,Tarak Khanna,1988-07-14,Male,Lower-Middle
402,323,Aayush Acharya,2007-11-24,Male,Lower
403,324,Bina Munshi,1951-03-10,Female,Upper-Middle
404,325,Ganga Bhakta,1988-04-28,Female,Middle
405,326,Zashil Parmer,2002-09-13,Male,Lower
406,327,Veda Brahmbhatt,1987-03-11,Female,Lower-Middle
407,327,Hritik Sami,1948-10-18,Male,Lower
408,328,Anjali Chopra,1951-07-17,Female,Lower-Middle
409,328,Lucky Sahni,1958-08-10,Male,Lower-Middle
410,329,Hritik Dixit,2011-08-16,Male,Upper-Middle
411,330,Ishita Barad,1983-10-14,Female,Middle
412,331,Deepa Raju,1978-08-14,Female,Lower
413,332,Samar Trivedi,2009-12-05,Male,Lower-Middle
414,333,Chanchal Wable,1993-08-10,Female,Lower
415,333,Arin Palla,1950-04-29,Male,Lower
416,334,Oviya Ratta,2021-04-25,Female,Middle
417,335,Ranveer Srinivas,1969-07-02,Male,Lower-Middle
418,336,Abha Srinivas,1966-10-11,Female,Middle
419,337,Gaurangi Agarwal,2020-12-06,Female,Lower-Middle
420,338,Maanav Sem,1966-07-17,Male,Lower-Middle
421,339,Vasudha Kade,1993-05-27,Female,Lower
422,340,Lohit Badami,2008-12-21,Male,Middle
423,341,Amrita Walla,1975-09-28,Female,Lower
424,342,Ryan Sawhney,2016-05-13,Male,Middle
425,343,Charan Kumer,1992-09-19,Male,Lower
426,344,Harsh Sabharwal,2008-05-03,Male,Middle
427,345,Kalpit Ram,2010-12-21,Male,Middle
428,346,Anita Saran,1997-02-08,Female,Middle
429,346,Umang Pradhan,1954-11-04,Male,Lower
430,347,Yatan Chaudhuri,1956-12-19,Male,Middle
431,348,Max Pandya,2004-03-17,Male,Middle
432,349,Pushti Pau,2000-04-09,Female,Lower-Middle
433,350,Max Kothari,1957-09-14,Male,Upper
434,351,Theodore Kadakia,1965-06-25,Male,Middle
435,352,Anamika Desai,1993-02-06,Female,Upper-Middle
436,352,Tanish Narula,1974-08-26,Male,Lower-Middle
437,353,Wahab Sood,2011-02-24,Male,Lower
438,354,Aditya Iyengar,1959-01-25,Male,Lower
439,355,Yug Srivastava,1960-04-08,Male,Lower-Middle
440,356,Sarthak Chokshi,1996-01-20,Male,Lower-Middle
441,357,Warda Dube,1947-04-03,Female,Middle
442,357,Ekbal Lala,1953-05-16,Male,Lower-Middle
443,358,Rachit Mannan,1991-05-28,Male,Lower-Middle
444,359,Amaira Bhardwaj,1992-02-04,Female,Lower
445,359,Amol Tripathi,1950-07-02,Male,Lower
446,360,Yug Ratti,2007-11-26,Male,Lower
447,360,Yoshita Uppal,2010-08-19,Female,Lower
448,361,Nilima Purohit,1958-10-16,Female,Middle
449,361,Tanish Arya,1973-01-20,Other,Lower
450,362,Jeet Vora,1975-06-12,Male,Lower-Middle
451,363,Akshay Balan,1956-05-08,Male,Lower
452,363,Jasmit Munshi,1966-12-15,Female,Upper
453,364,Isaiah Badami,2012-06-16,Male,Lower
454,365,Chatresh Sarma,2001-09-18,Male,Lower-Middle
455,366,Krishna Sachdev,1998-04-10,Male,Middle
456,366,Yuvraj Hayer,1994-06-05,Male,Lower-Middle
457,367,Ranbir Dugar,1965-04-22,Male,Middle
458,367,Faras Sethi,1990-01-30,Male,Upper
459,368,Baghyawati Agrawal,1968-02-13,Female,Upper
460,369,Kritika Barad,1963-03-07,Female,Lower-Middle
461,369,Mekhala Barad,1996-03-15,Female,Middle
462,370,Vivaan Seth,1959-06-06,Male,Middle
463,371,Pranit Brar,1995-10-02,Male,Lower-Middle
464,372,Lekha Chaudry,2015-11-04,Female,Upper
465,373,Zehaan Arora,1991-05-18,Male,Upper-Middle
466,374,Triveni Rau,2004-03-29,Female,Lower-Middle
467,375,Dakshesh Gole,1975-02-20,Male,Middle
468,376,Widisha Vyas,2020-11-03,Female,Middle
469,377,Anya Sunder,1950-02-11,Other,Lower
470,378,Indali Saha,1956-10-25,Female,Middle
471,379,Ekaraj Som,1998-09-27,Male,Lower
472,379,Megha Mitter,1986-10-06,Female,Upper-Middle
473,380,Advika Dhillon,1967-04-28,Female,Middle
474,381,Falan Krishnamurthy,2018-07-31,Male,Lower-Middle
475,382,Ikshita Bobal,1978-10-15,Female,Upper-Middle
476,382,Jacob Shere,1955-12-28,Male,Upper-Middle
477,383,Rajeshri Barman,1976-05-05,Female,Middle
478,383,Christopher Walia,1949-10-31,Male,Middle
479,384,Sachi Rai,1962-02-09,Female,Middle
480,385,Darsh Kothari,2001-03-02,Male,Lower
481,386,Sanaya Chada,1948-11-14,Female,Upper-Middle
482,387,Utkarsh Chanda,2013-10-08,Male,Middle
