ID,Name,DOB,Gender,Occupation,Arrest_Count
56,Kritika Borra,1990-09-14,Female,Student,1
57,Aryan Zachariah,1961-07-20,Male,Electrician,1
58,Jagat Ganesan,1988-03-15,Male,Business,0
59,Wridesh Kala,1987-11-02,Male,Tailor,7
60,Fitan Raghavan,1960-09-10,Male,Unknown,0
61,Kevin Sha,1979-12-16,Male,Cook,4
62,Yagnesh Dubey,1973-06-20,Male,Driver,0
63,Ikbal Bhardwaj,1999-12-17,Male,Unknown,0
64,Naksh Bhandari,1963-12-17,Male,Painter,1
65,Yashasvi Wali,1971-04-06,Female,Mechanic,1
66,Banjeet Grewal,1965-03-18,Male,Mason,12
67,Jacob Raval,1968-09-14,Male,Private Employee,0
68,Anmol Bumb,1989-01-27,Male,Unknown,0
69,Kalpit Jayaraman,2006-02-14,Male,Cook,1
70,Kashvi Lanka,1987-06-25,Female,Auto Driver,0
71,Mason Shankar,1982-01-23,Male,Tailor,0
72,Aayush Shanker,2002-10-25,Male,Tailor,0
73,Bina Yogi,1975-01-19,Female,Shopkeeper,0
74,Dominic Palla,1965-03-24,Male,Shopkeeper,0
75,Qasim Mane,1971-04-13,Male,Mechanic,1
76,Matthew Wadhwa,1961-01-29,Male,Daily Wage Worker,0
77,Charles Desai,1978-07-18,Male,Painter,0
78,Chatresh Dugal,1979-01-30,Male,Shopkeeper,1
79,Henry Oza,1974-05-27,Male,Electrician,1
80,Zayyan Suresh,1977-08-20,Male,Farmer,4
81,Chakradhar Sampath,1979-05-17,Male,Vendor,0
82,Aarav Nath,1969-06-13,Male,Unemployed,0
83,Gaurika Sathe,1998-02-02,Female,Mechanic,0
84,Aayush Choudhury,1965-09-01,Male,Tailor,1
85,Anita Pingle,2000-03-09,Female,Shopkeeper,0
86,Upasna Datta,1963-05-24,Female,Student,0
87,Qabil Baral,1984-11-23,Male,Private Employee,1
88,Kritika Chauhan,1984-08-12,Female,Auto Driver,0
89,Faras Khalsa,1971-08-10,Male,Unemployed,0
90,Samuel Bakshi,1972-10-02,Male,Electrician,0
91,Samesh Kothari,1978-09-14,Male,Mechanic,1
92,Darika Raja,1963-03-08,Female,Daily Wage Worker,1
93,Indrajit Iyengar,1991-11-14,Male,Tailor,0
94,Michael Kari,1975-09-19,Male,Daily Wage Worker,1
95,Gopal Rastogi,1982-11-19,Male,Painter,1
96,Bakhshi Mallick,1984-06-10,Male,Cook,11
97,Noah Bala,1968-05-24,Male,Unemployed,0
98,Gaurav Lanka,1963-02-24,Male,Tailor,0
99,Teerth Pai,1981-11-22,Male,Driver,1
100,Dalbir Rajan,1999-10-14,Male,Farmer,1
101,Joshua Basu,1990-03-22,Male,Painter,1
102,Guneet Patla,1989-11-23,Male,Mechanic,1
103,Noah Murthy,2005-09-09,Male,Student,1
104,Mason Tripathi,1981-08-05,Male,Labourer,0
105,Nihal Rau,2007-12-29,Male,Unknown,1
106,Devansh Handa,1989-02-27,Male,Electrician,1
107,Gagan Mitra,1988-03-07,Male,Student,1
108,Max Mangat,1974-11-07,Male,Private Employee,5
109,Naveen Shroff,1990-08-11,Male,Auto Driver,0
110,Hredhaan Vaidya,1992-09-30,Male,Auto Driver,0
111,Brijesh Mander,1995-08-16,Male,Unknown,1
112,Chakradhar Keer,2006-05-01,Male,Auto Driver,2
113,Jeevika Issac,1970-07-29,Female,Farmer,0
114,Arin Konda,1992-11-17,Male,Cook,0
115,Vasatika Sachdeva,2003-05-27,Female,Farmer,1
116,Rehaan Talwar,1987-09-29,Male,Tailor,1
117,Ethan Ahluwalia,1967-10-20,Male,Cook,1
118,Januja Goda,2007-11-26,Female,Security Guard,0
119,Arya Krish,1968-10-21,Female,Daily Wage Worker,1
120,Ekalinga Shetty,2005-12-22,Male,Daily Wage Worker,1
121,Timothy Thaman,1989-08-02,Male,Private Employee,0
122,Fariq Soman,1991-03-05,Male,Auto Driver,0
123,Jatin Malhotra,1996-01-08,Male,Driver,1
124,Jagdish Maharaj,1990-06-25,Male,Painter,8
125,Luke Keer,1979-01-14,Male,Unknown,0
126,Odika Zachariah,1966-01-11,Female,Unknown,0
127,Forum Kashyap,1986-08-12,Female,Business,1
128,Hredhaan Bhatt,1988-10-11,Male,Tailor,0
129,Noah Shukla,1988-11-03,Male,Daily Wage Worker,0
130,Harshil Salvi,1987-01-19,Male,Mason,1
131,Sachi Sood,1960-12-12,Female,Tailor,8
132,Manthan Ramakrishnan,1989-01-22,Male,Labourer,8
133,Yagnesh Kanda,1979-02-13,Male,Electrician,1
134,Xavier Balakrishnan,1987-01-04,Male,Mechanic,1
135,Samaksh Gandhi,1992-05-09,Male,Mason,1
136,Agastya Ramesh,2000-10-28,Male,Driver,0
137,Fiyaz Sangha,1969-10-12,Other,Vendor,0
138,Gavin Bedi,1978-04-02,Male,Unemployed,0
139,Nihal Kakar,1991-06-28,Male,Labourer,0
140,Om Raghavan,1979-06-26,Male,Farmer,0
141,Jonathan Bumb,1992-07-20,Male,Daily Wage Worker,0
142,Atharv Palla,1975-10-22,Male,Farmer,0
143,Anusha Balasubramanian,1977-05-17,Female,Farmer,1
144,Advaith Dua,1976-10-12,Male,Mason,0
145,Warjas Contractor,1998-12-04,Male,Auto Driver,6
146,Vidhi Kunda,1985-08-25,Female,Farmer,0
147,Dakshesh Gade,1981-09-17,Male,Painter,0
148,Agastya Muni,1999-09-24,Male,Private Employee,8
149,Sneha Issac,1965-09-19,Female,Farmer,1
150,Charan Mitra,2007-02-10,Male,Electrician,1
151,Ansh Palan,1996-10-19,Male,Cook,1
152,Qasim Biswas,1994-12-23,Male,Tailor,1
153,Abeer Salvi,1993-11-27,Male,Unknown,0
154,Upma Pathak,2003-10-19,Female,Driver,1
155,Faraj Saran,1972-07-13,Male,Electrician,1
156,Wyatt Shroff,1990-03-10,Male,Security Guard,0
157,Neel Korpal,1966-06-12,Male,Vendor,1
158,Umang Kohli,1992-03-03,Male,Daily Wage Worker,0
159,Om Balakrishnan,1994-03-09,Male,Painter,0
160,Gavin Sura,1974-12-25,Male,Security Guard,0
161,Kai Oak,1979-07-30,Male,Auto Driver,0
162,Abdul Varughese,1973-07-19,Male,Unknown,1
163,Jai Ray,1993-10-17,Male,Tailor,1
164,Wazir Swaminathan,1991-01-17,Male,Daily Wage Worker,0
165,Chakradhar Menon,1975-08-17,Male,Tailor,0
166,Jairaj Mohan,2005-09-23,Male,Security Guard,1
167,Urvashi Wali,1983-12-10,Other,Mechanic,1
168,Noah Pandey,2008-05-17,Male,Labourer,0
169,Krishna Mohan,1977-08-27,Male,Unemployed,0
170,Darpan Hans,1982-01-07,Male,Security Guard,2
171,George Handa,1975-04-10,Male,Security Guard,1
172,Lakshit Vohra,2001-02-27,Male,Unemployed,1
173,Chandresh Hari,1980-09-15,Male,Driver,0
174,Pranit Gola,1981-02-11,Male,Unemployed,1
175,Dev Mahal,1963-08-24,Male,Auto Driver,8
176,Madhav Date,2003-12-15,Male,Auto Driver,1
177,Charan Arora,1999-08-12,Male,Electrician,1
178,Wahab Srinivas,1990-07-09,Male,Unemployed,0
179,Hiral Behl,1977-09-23,Female,Mechanic,1
180,Dakshesh Bhattacharyya,1987-10-25,Male,Student,0
181,Balhaar Bera,1970-11-15,Male,Painter,1
182,Max Chada,1977-06-08,Male,Auto Driver,1
183,Sathvik Kara,1996-02-09,Male,Electrician,5
184,Varenya Savant,1980-10-12,Female,Unknown,0
185,Michael Bhasin,2002-01-12,Male,Tailor,0
186,Ishita Kakar,1978-07-22,Female,Shopkeeper,4
187,Farhan Khatri,1972-05-17,Male,Unknown,1
188,Farhan Agate,1988-05-06,Male,Business,1
189,Wahab Manne,1962-10-08,Male,Security Guard,0
190,Mitali Mandal,2008-05-20,Female,Private Employee,0
191,Balendra Kaur,1978-07-20,Male,Unknown,0
192,Pavani Contractor,1997-08-09,Other,Daily Wage Worker,0
193,Falan Lata,1970-03-24,Male,Electrician,0
194,Darpan Gandhi,1981-06-24,Other,Painter,1
195,Urvashi Dash,1992-06-10,Female,Security Guard,1
196,Saksham Magar,1994-08-09,Male,Farmer,1
197,Theodore Buch,2001-03-30,Male,Security Guard,1
198,Upma Naidu,2001-08-18,Female,Tailor,3
199,Agastya Chand,1976-02-15,Male,Private Employee,8
200,Lipika Baria,1972-06-20,Female,Labourer,1
201,Timothy Mall,1972-11-23,Male,Mechanic,1
202,Yatan Chand,1992-07-13,Male,Unemployed,0
203,Tara Nath,1982-05-24,Female,Electrician,1
204,Faris Narayan,1988-07-23,Male,Auto Driver,1
205,Maanas Rattan,1997-12-24,Male,Tailor,0
206,Suhani Chakrabarti,1981-12-13,Other,Farmer,0
207,Neel D’Alia,1988-01-19,Male,Shopkeeper,1
208,Vihaan Sachdev,1964-03-27,Male,Daily Wage Worker,1
209,Zarna Pathak,2002-12-01,Other,Auto Driver,0
210,Timothy Behl,1974-05-26,Male,Cook,0
211,Ekaja Mani,1990-05-12,Female,Daily Wage Worker,1
212,Darsh Balakrishnan,2003-06-03,Male,Cook,0
213,Fariq Mukhopadhyay,1998-01-12,Male,Business,1
214,Tanvi Chander,1975-11-02,Female,Electrician,1
215,Vihaan Dalal,2004-08-15,Male,Tailor,1
216,Yahvi Manne,1995-03-06,Female,Auto Driver,0
217,Triya Subramanian,1992-09-06,Female,Painter,9
218,Vedant Dhillon,1986-08-26,Male,Mason,0
219,Ekansh Boase,1979-05-07,Male,Unemployed,11
220,Onkar Tripathi,1978-09-23,Male,Farmer,1
221,Lohit Misra,2000-06-27,Male,Electrician,4
222,Falan Sekhon,1997-03-13,Male,Shopkeeper,6
223,Orinder Natarajan,1998-02-07,Male,Mason,1
224,Vasatika Nagy,1973-05-20,Female,Tailor,1
225,Rehaan Kaur,1988-07-01,Male,Security Guard,0
226,Nathan Solanki,2008-07-15,Male,Auto Driver,1
227,Libni Doshi,1994-04-03,Other,Driver,0
228,Dev Thakkar,2000-09-16,Male,Farmer,1
229,Daksha Sarraf,1967-05-02,Female,Unemployed,0
230,Abhimanyu Dhawan,1988-06-12,Male,Vendor,0
231,Baljiwan Singh,1978-08-01,Male,Unknown,0
232,Rushil Buch,1982-11-27,Male,Driver,1
233,Nathan Sura,1997-05-13,Male,Auto Driver,0
234,Bakhshi Keer,2003-07-01,Male,Daily Wage Worker,0
235,Jhalak Chana,1990-01-29,Female,Electrician,0
236,Chandresh Sawhney,1971-11-14,Male,Vendor,1
237,Akshay Batra,1982-08-15,Male,Painter,1
238,Nandini Parmer,1986-01-20,Female,Mechanic,1
239,Elijah Konda,1996-09-10,Male,Mason,1
240,Pranit Garde,1972-06-17,Other,Business,12
241,Rayaan Khosla,1994-05-31,Male,Labourer,0
242,Kala Shenoy,2003-12-16,Female,Security Guard,1
243,Victor Kumer,2005-12-04,Male,Auto Driver,1
244,Viraj Mani,2006-08-29,Male,Mechanic,0
245,Balhaar Sathe,1984-01-24,Male,Unemployed,1
246,Simon Krishna,1991-08-20,Male,Vendor,0
247,Ira Rajagopalan,1993-06-06,Female,Private Employee,0
248,Jagat Raj,1999-06-20,Male,Tailor,1
249,Manbir Merchant,1962-01-15,Male,Daily Wage Worker,1
250,Mahika Anand,1999-01-22,Female,Security Guard,1
251,Yuvraj Mangat,1976-03-16,Male,Private Employee,1
252,Januja Gupta,2002-10-19,Female,Shopkeeper,0
253,Ekantika Chatterjee,2003-03-31,Female,Mason,1
254,Mohammed Sastry,1962-10-26,Male,Mason,10
255,Dominic Chana,1980-08-18,Male,Vendor,1
256,Sarthak Gill,1974-03-18,Male,Vendor,5
257,Qadim Wali,1994-09-11,Male,Tailor,0
258,Fitan Kurian,1993-05-03,Male,Electrician,1
259,Omkaar Contractor,1992-06-01,Male,Farmer,2
260,Ekavir Kara,2006-07-28,Male,Security Guard,5
261,Rajeshri Chana,1987-05-26,Female,Shopkeeper,1
262,Kevin Yadav,1968-12-15,Male,Tailor,0
263,Raksha Lala,2000-04-29,Female,Farmer,1
264,Ria Chokshi,2006-06-21,Female,Daily Wage Worker,7
265,Warinder Bakshi,2002-09-15,Male,Electrician,1
266,Indrajit Bhatnagar,2003-10-15,Male,Vendor,1
267,Matthew Rege,1968-06-26,Male,Daily Wage Worker,0
268,Aradhana Barad,1981-04-05,Female,Electrician,5
269,Dalbir Chatterjee,1976-07-10,Male,Labourer,7
270,Rishi Setty,1985-10-17,Male,Shopkeeper,0
271,Faras Sachdeva,2005-02-11,Male,Tailor,0
272,Wishi Reddy,1979-08-01,Female,Auto Driver,0
273,Qasim Kalla,1990-09-20,Male,Labourer,0
274,Warinder Patil,1967-04-23,Other,Tailor,0
275,Praneel Bhat,1987-08-22,Male,Labourer,7
276,Girish Das,1991-06-29,Male,Auto Driver,0
277,Hitesh Bail,1963-12-28,Male,Unemployed,8
278,Jairaj Dass,1998-12-19,Male,Driver,1
279,Bakhshi Johal,2000-06-13,Male,Farmer,0
280,Kamala Narasimhan,1970-08-03,Female,Unemployed,1
281,Lakshit Dhillon,1969-05-23,Male,Labourer,9
282,Harita Choudhary,2005-07-13,Female,Painter,1
283,Dominic Aurora,1984-12-04,Male,Electrician,3
284,Neel Babu,1972-05-27,Male,Shopkeeper,6
285,Atharv Date,1989-03-12,Male,Unknown,1
286,Azad Soni,1991-01-19,Male,Cook,1
287,Chatura Seth,1994-10-31,Male,Farmer,0
288,Anthony Verma,1981-01-27,Male,Auto Driver,1
289,Alexander Bhat,1993-02-21,Male,Farmer,1
290,Tanay Chokshi,1993-11-28,Male,Vendor,1
291,Balhaar Buch,1982-06-20,Male,Driver,3
292,Bachittar Date,1979-04-06,Male,Vendor,0
293,Rayaan Wali,1980-08-12,Male,Tailor,0
294,Zayyan Sani,1967-04-19,Male,Painter,0
295,Janaki Sani,1991-04-11,Female,Business,0
296,Samuel Nori,1991-05-29,Male,Security Guard,0
297,Sarthak Chandran,1981-10-25,Male,Tailor,1
298,Naksh Kumer,1986-01-07,Male,Painter,0
299,Warjas Bhavsar,1966-10-03,Male,Daily Wage Worker,6
300,Chakradhar Sankaran,1967-02-13,Male,Business,1
301,Dhruv Bhasin,2000-06-15,Male,Shopkeeper,1
302,Darsh Roy,1984-08-10,Male,Labourer,10
303,Atharv Mani,2001-05-28,Male,Painter,0
304,Patrick Chawla,1999-11-16,Male,Private Employee,0
305,Garima Subramaniam,1975-10-22,Female,Shopkeeper,0
306,Parth Pillai,1968-05-13,Male,Daily Wage Worker,1
307,Isaiah Sanghvi,1998-09-20,Male,Electrician,0
308,Kiaan Balakrishnan,1972-10-28,Male,Farmer,0
309,Mohammed Nori,1984-06-07,Male,Unknown,1
310,Gautam Dhar,1999-01-31,Male,Mason,0
311,Bakhshi Dhar,2003-08-20,Male,Business,0
312,Chakradev Wali,1975-03-10,Male,Business,0
313,Shaurya Setty,1983-09-30,Male,Painter,1
314,Qasim Muni,1982-08-15,Male,Auto Driver,1
315,Atharv Dugal,1971-04-05,Male,Unemployed,1
316,Chaitaly Magar,1990-09-13,Female,Private Employee,1
317,Xavier Sathe,1988-09-24,Male,Painter,1
318,Hritik Vala,1968-04-16,Male,Private Employee,1
319,Upasna Choudhry,1979-10-28,Female,Vendor,3
320,Mitesh Bath,1975-07-22,Male,Unknown,0
321,Ayaan Amble,1974-06-16,Male,Business,0
322,Hitesh Devan,1977-12-07,Male,Student,12
323,Nihal Dar,1961-01-27,Male,Cook,1
324,Tanveer Gill,1969-05-03,Male,Shopkeeper,0
325,Ishwar Tella,1998-07-27,Male,Student,0
326,Balendra Ranganathan,1963-06-05,Male,Security Guard,1
327,Aditya Sharaf,1965-11-05,Male,Unknown,1
328,Upadhriti Ravel,2004-02-09,Female,Private Employee,0
329,Maanav Contractor,1988-02-10,Male,Business,0
330,Nicholas Garg,2002-08-11,Male,Driver,1
331,Pratyush Chakrabarti,1990-04-07,Male,Vendor,0
332,Jairaj Sarin,2000-08-14,Male,Driver,1
333,Balveer Randhawa,1981-08-29,Male,Tailor,0
334,Indrajit Nath,1971-12-27,Male,Unknown,1
335,Dakshesh Wali,1995-04-01,Male,Cook,0
336,Owen Panchal,2004-06-20,Male,Private Employee,0
337,Jacob Chauhan,1970-07-06,Male,Student,9
338,Rudra Ghose,2001-07-16,Other,Cook,0
339,Baljiwan Goel,2003-04-12,Male,Business,1
340,Vincent Sen,2006-11-24,Male,Unemployed,1
341,Nakul Dora,1990-06-22,Male,Farmer,1
342,Wahab Sathe,2003-07-07,Male,Shopkeeper,0
343,Mahika Bhalla,1984-06-30,Female,Business,1
344,Mohammed Shenoy,1991-04-20,Male,Driver,1
345,Ayush Pillay,1980-01-31,Male,Private Employee,0
346,Chakradev Tripathi,1986-09-17,Male,Painter,0
347,Ansh Sengupta,1999-06-13,Male,Student,1
348,Oeshi Soni,1994-08-31,Female,Security Guard,0
349,Azaan Seshadri,1967-08-04,Male,Business,0
350,Brijesh Thaman,2004-07-07,Male,Tailor,0
351,Anmol Kota,1990-05-03,Male,Shopkeeper,0
352,Fariq Patla,1985-12-02,Male,Student,0
353,Rishi Rege,1983-07-29,Male,Auto Driver,1
354,Oliver Bhatti,1982-12-25,Male,Electrician,0
355,Reyansh Mander,1977-09-11,Male,Security Guard,0
356,Ojas Bumb,2000-03-15,Male,Unknown,1
357,Parth Mukherjee,2005-03-11,Male,Mason,1
358,Eiravati Chad,1981-08-12,Female,Mechanic,0
359,Omya Datta,2006-02-23,Female,Unemployed,1
360,Siddharth Trivedi,1985-03-03,Male,Farmer,0
361,Pratyush More,1972-10-24,Male,Student,0
362,Panini Sunder,1973-08-12,Female,Driver,0
363,Ekantika Dubey,1965-10-18,Female,Vendor,1
364,Chandresh Tripathi,1997-04-12,Male,Cook,1
365,Gayathri Deep,2001-03-10,Other,Vendor,1
366,Ganga Gaba,1972-11-07,Female,Private Employee,0
367,Theodore Bassi,1988-07-03,Male,Security Guard,0
368,Jagat Sawhney,2002-02-05,Male,Security Guard,0
369,Vanya Kaur,1996-11-19,Female,Labourer,0
370,Mohammed Singh,1973-10-01,Male,Cook,1
371,Thomas Shenoy,1979-09-21,Male,Farmer,8
372,Zayan Wable,1989-01-13,Male,Electrician,9
373,Harish Devi,1977-07-23,Male,Labourer,0
374,Wridesh Prabhu,1998-04-14,Male,Business,1
375,David Mane,1966-04-03,Male,Painter,0
376,Laban Sengupta,1995-06-25,Male,Vendor,10
377,Tejas Chand,1975-08-28,Male,Cook,1
378,Priya Bala,1988-10-12,Female,Unemployed,1
379,Rudra Thakkar,1985-12-29,Male,Labourer,0
380,Reyansh Bumb,1986-01-22,Male,Farmer,1
381,Akshay Nagar,1967-04-16,Male,Vendor,0
382,Eta Devan,1963-02-26,Female,Electrician,1
383,Warinder Dewan,1992-06-20,Male,Shopkeeper,9
384,Aarnav Buch,1961-11-03,Male,Mechanic,5
385,Janaki Doctor,1997-11-22,Female,Private Employee,1
386,Indrajit Mani,1976-09-19,Other,Tailor,0
387,Darsh Batta,1976-10-09,Male,Mechanic,0
388,Vasudha Bhatnagar,1968-02-03,Female,Private Employee,1
389,Abhiram Varma,1999-09-05,Male,Mason,1
390,Ekbal Manne,1989-10-03,Male,Student,1
391,Patrick Khosla,1999-05-19,Male,Cook,0
392,Girik Chada,1996-03-03,Male,Driver,0
393,Bahadurjit Vora,1997-07-28,Male,Private Employee,7
394,Robert Singhal,1963-07-06,Male,Business,1
395,Rachit Kulkarni,1961-08-26,Male,Electrician,0
396,Bahadurjit Pai,1976-12-15,Male,Vendor,1
397,Ojas Deol,1963-07-25,Male,Unemployed,12
398,Omkaar Gill,2007-02-20,Male,Cook,0
399,Wakeeta Gopal,1969-09-21,Female,Shopkeeper,1
400,Veer Bansal,1980-07-07,Male,Driver,1
401,Anthony Iyengar,1963-05-26,Male,Unknown,4
402,Mohammed Varma,1987-08-24,Male,Vendor,0
403,Jonathan Bansal,2004-07-26,Male,Cook,1
404,Luke Parikh,1963-10-20,Male,Auto Driver,0
405,Laban Dash,1985-08-04,Male,Security Guard,0
406,Ryan Sarraf,1986-11-10,Male,Daily Wage Worker,0
407,Rachit Taneja,2007-08-23,Other,Business,1
408,Qarin Venkataraman,1978-09-12,Male,Shopkeeper,1
409,Simon Brar,1989-11-06,Male,Electrician,1
410,Manan Nagi,1967-07-13,Male,Driver,1
411,Omisha Merchant,1981-05-27,Female,Student,0
412,Tanay Ganesan,2007-06-27,Male,Cook,0
413,Parth Sekhon,1963-06-06,Male,Auto Driver,0
414,Teerth Maharaj,2004-01-24,Male,Unknown,0
415,Baljiwan Ravi,1985-04-09,Male,Driver,8
416,Azaan Dhar,2001-11-22,Other,Security Guard,1
417,Anika Date,1965-02-14,Female,Driver,7
418,Qadim Pathak,1986-08-07,Male,Electrician,1
419,Faraj Sengupta,1985-10-16,Male,Tailor,0
420,Tristan Bose,1999-08-08,Male,Shopkeeper,0
421,Zilmil Peri,1987-08-20,Female,Cook,0
422,Liam Krish,1968-04-07,Male,Auto Driver,1
423,Idika Tata,1995-10-12,Female,Daily Wage Worker,1
424,Daniel Lala,1978-04-05,Male,Business,0
425,Hredhaan Mangal,2007-10-09,Male,Student,0
426,Harish Das,1969-10-13,Male,Private Employee,0
427,Varsha Gera,1990-11-02,Female,Labourer,12
428,Nathaniel Palan,1964-12-19,Male,Daily Wage Worker,1
429,Mason Dugar,2008-03-13,Male,Labourer,1
430,Pratyush Trivedi,1975-10-22,Male,Business,1
431,Harish Dewan,1976-08-28,Male,Driver,0
432,Agastya Patel,1998-04-01,Male,Security Guard,1
433,Vivaan Dayal,2002-03-11,Male,Private Employee,1
434,Bachittar More,1987-08-23,Male,Vendor,0
435,Samesh Rout,1999-09-02,Male,Cook,1
436,Dev Nadig,2004-04-04,Male,Farmer,0
437,Umang Shukla,2006-10-30,Male,Unemployed,1
438,Eesha Gopal,1969-04-30,Female,Painter,0
439,Yashasvi Bhakta,1968-12-30,Female,Unknown,0
440,Max Gala,1971-07-27,Male,Security Guard,1
441,Isaiah Pal,1995-11-10,Male,Business,0
442,Chaaya Krishna,1973-11-27,Female,Cook,0
443,Dev Mitter,2002-05-11,Male,Vendor,6
444,Zayan Ganguly,2000-10-26,Male,Security Guard,0
445,Harinakshi Nazareth,1998-11-25,Female,Painter,6
446,Akshay Bumb,1963-08-22,Male,Mason,1
447,Henry Saha,2002-08-11,Male,Tailor,1
448,Yuvraj Mann,2004-03-24,Male,Cook,1
449,Warhi Konda,2007-02-28,Female,Farmer,3
450,Manthan Setty,1965-07-06,Male,Private Employee,1
451,Farhan Sarraf,1988-10-30,Male,Mechanic,1
452,Vincent Jani,1983-09-12,Male,Unemployed,7
453,Nirja Nagar,1984-01-19,Female,Cook,0
454,Dhruv Prabhakar,1995-08-04,Male,Private Employee,1
455,Nathaniel Khurana,1992-04-16,Male,Cook,1
456,Kiaan Sengupta,1977-06-02,Male,Business,0
457,Chanakya Bedi,1980-04-18,Male,Farmer,1
458,Shaurya Kothari,1971-06-01,Male,Labourer,1
459,Nirja Gupta,1971-05-23,Female,Unknown,0
460,Vivaan Tara,1981-07-17,Male,Student,1
461,Advay Chana,1987-04-23,Male,Auto Driver,3
462,Jai Kale,2000-03-30,Male,Electrician,0
463,Arjun Bedi,1979-09-11,Male,Mechanic,1
464,Vrinda Mangal,1997-01-25,Female,Unemployed,0
465,Chatura Sankar,1969-08-29,Male,Security Guard,1
466,Rajeshri Rau,1985-06-13,Female,Electrician,1
467,Sai Behl,1999-05-10,Male,Daily Wage Worker,0
468,Radhika Mani,1965-07-20,Female,Daily Wage Worker,0
469,Yashawini Seshadri,1997-12-18,Female,Business,0
470,Daniel Dave,1967-02-16,Male,Security Guard,1
471,Rachit Nori,1998-07-04,Male,Daily Wage Worker,1
472,Eshana Issac,2001-07-18,Female,Mason,0
473,Zashil Baria,1963-08-19,Male,Business,0
474,Ekapad Nath,1992-10-13,Male,Electrician,1
475,Falan Varma,1970-01-22,Male,Tailor,1
476,Nathaniel Gaba,1987-04-15,Male,Unknown,0
477,Om Tripathi,1995-03-27,Male,Cook,0
478,Mason Soman,1961-09-05,Male,Painter,1
479,Noah Choudhary,1988-11-22,Male,Shopkeeper,10
480,Amara Som,1978-08-13,Female,Student,1
481,Atharv Srinivasan,1972-02-25,Male,Mechanic,1
482,Ethan Kibe,1962-09-11,Male,Unemployed,0
483,Girish Bahl,1990-07-24,Male,Auto Driver,0
484,Ubika Doshi,1988-08-25,Female,Student,0
485,Tripti Thaker,2002-02-27,Female,Unemployed,1
486,Azaan Devi,1995-11-04,Male,Student,1
487,Omaja Sridhar,1996-04-21,Female,Labourer,0
488,Nirja Ghose,1991-10-29,Female,Private Employee,1
489,Raagini Lalla,2002-01-23,Female,Shopkeeper,1
