ID,Station_ID,FIR_Number,Date,Crime_Group,Crime_Subgroup,Latitude,Longitude,Narrative,Status
11,81,0001/2025,2025-12-04,Burglary,IPC 457,13.939284,75.567038,"An incident of burglary was reported on 04-12-2025 at College Road, Shivamogga Rural. The victim Ubika Chakrabarti sustained minor injuries. Ekaraj Sahota is identified as the primary suspect. The accused was armed with a sharp-edged weapon (knife). The matter is being investigated under IPC Section 457. Forensic team dispatched to the scene.",Closed
12,202,0001/2026,2026-01-21,Motor Vehicle Theft,IPC 379 r/w 411,17.916391,77.562747,"An incident of motor vehicle theft was reported on 21-01-2026 at Main Circle, Aurad. The victim Gautam Gopal sustained moderate injuries. Jairaj Nori is identified as the primary suspect. The accused was armed with a glass bottle. The matter is being investigated under IPC Section 379 r/w 411. Forensic team dispatched to the scene.",Chargesheeted
13,9,0001/2025,2025-02-12,Motor Vehicle Theft,IPC 379 r/w 411,12.897931,77.603913,"The complainant Quincy Nadkarni stated that on 12-02-2025 around 10:30 hrs, while at Station Road, Rajajinagar, Rudra Sama along with 3 unknown accomplices drove away with the victim's auto-rickshaw. The accused was armed with a country-made firearm. Local witnesses identified the suspect. FIR filed under Section 379 r/w 411 IPC.",Acquitted
14,203,0001/2025,2025-08-20,Theft,IPC 379,17.852464,77.572651,"On 20-08-2025, Omkaar Anne approached the station to report that Geetika Shetty pilfered cash from the counter near Lake View Area, Basavakalyan at approximately 07:45 hrs. The accused was armed with an iron rod. Investigation revealed prior criminal history of the accused. Case booked under Section 379.",Closed
15,209,0001/2026,2026-01-31,Assault,IPC 323,16.768981,77.066478,"The complainant Kavya Sharma stated that on 31-01-2026 around 15:00 hrs, while at Nehru Road, Gurmatkal, Gopal Rastogi along with 2 unknown accomplices assaulted the victim. The accused was armed with acid. Local witnesses identified the suspect. FIR filed under Section 323 IPC.",Acquitted
16,56,0001/2025,2025-07-07,Kidnapping & Abduction,IPC 363,15.82264,74.416603,"An incident of kidnapping & abduction was reported on 07-07-2025 at Market Area, Khanapur. The victim Yatin Morar sustained fatal injuries. Siddharth Menon is identified as the primary suspect. The accused was armed with bare hands. The matter is being investigated under IPC Section 363. Forensic team dispatched to the scene.",Acquitted
17,37,0001/2024,2024-10-12,Burglary,IPC 457,12.800626,74.891753,"The complainant Kevin Mukherjee stated that on 12-10-2024 around 14:45 hrs, while at Main Circle, Mangaluru South, Logan Patla along with 3 unknown accomplices broke into the residence. The accused was armed with acid. Local witnesses identified the suspect. FIR filed under Section 457 IPC.",Chargesheeted
18,73,0001/2026,2026-06-18,Kidnapping & Abduction,IPC 363,13.256999,77.014015,"On 18-06-2026, at approximately 19:45 hrs, the complainant Ladli Mangat reported that Theodore Nadig committed kidnapping & abduction near MG Road, Tumakuru Rural. The accused fled towards north on a white Maruti car. Case registered under IPC Section 363.",Under Investigation
19,83,0001/2025,2025-10-18,Cheating & Fraud,IPC 420,13.825683,75.665535,"An incident of cheating & fraud was reported on 18-10-2025 at Court Complex Area, Sagar. The victim Arya Dey sustained moderate injuries. Vrishti Chakrabarti is identified as the primary suspect. The accused was armed with a sickle. The matter is being investigated under IPC Section 420. Forensic team dispatched to the scene.",Under Investigation
20,172,0001/2026,2026-02-28,Kidnapping & Abduction,IPC 363,15.407329,75.033645,"On 28-02-2026, at approximately 01:15 hrs, the complainant Odika Kara reported that Teerth Maharaj committed kidnapping & abduction near Station Road, Dharwad Rural. The accused was armed with no weapon (verbal threat). The accused fled towards towards the highway on a motorcycle. Case registered under IPC Section 363.",Closed
21,16,0001/2025,2025-03-13,Assault,IPC 323,12.960782,77.52724,"On 13-03-2025, Anjali Iyengar approached the station to report that Ekaraj Grover caused hurt by punching near MG Road, K.R. Puram at approximately 06:30 hrs. The accused was armed with a wooden stick (lathi). Investigation revealed prior criminal history of the accused. Case booked under Section 323.",Chargesheeted
22,162,0001/2024,2024-12-07,Motor Vehicle Theft,IPC 379 r/w 411,13.43287,77.700328,"On 07-12-2024, Chakrika Lad approached the station to report that Nathaniel Bhavsar stole a parked motorcycle near Old Town, Chintamani at approximately 06:15 hrs. The accused was armed with a glass bottle. Investigation revealed prior criminal history of the accused. Case booked under Section 379 r/w 411.",Closed
23,77,0001/2026,2026-06-03,Cybercrime,IPC 66C IT Act,13.271097,77.107726,"An incident of cybercrime was reported on 03-06-2026 at Nehru Road, Madhugiri. The victim Aishani Chanda sustained life-threatening injuries. Gopal Bajaj is identified as the primary suspect. The accused was armed with a sickle. The matter is being investigated under IPC Section 66C IT Act. Forensic team dispatched to the scene.",Under Investigation
24,55,0001/2025,2025-12-14,Cheating & Fraud,IPC 420,15.803929,74.443994,"On 14-12-2025, Isha Patla approached the station to report that Ubika Issac committed online fraud near New Extension, Ramdurg at approximately 09:00 hrs. The accused was armed with a country-made firearm. Investigation revealed prior criminal history of the accused. Case booked under Section 420.",Under Investigation
25,191,0001/2024,2024-08-06,Dowry Death,IPC 304B,15.32597,76.221748,"Received complaint from Shivani Garde regarding an incident on 06-08-2024. The accused Indali Sha allegedly harassed the victim for dowry at Main Circle, Yelburga during 05:00 hrs. The accused was armed with an iron rod. The accused was later identified through CCTV footage from nearby petrol bunk. Charges framed under IPC 304B.",Chargesheeted
26,50,0001/2024,2024-09-30,Theft,IPC 379,15.741797,74.406756,"Received complaint from Lekha Dugal regarding an incident on 30-09-2024. The accused Tripti Lalla allegedly committed theft of a two-wheeler at Temple Street, Belagavi City during 05:45 hrs. The accused was armed with no weapon (verbal threat). The accused was later identified through CCTV footage from nearby bank branch. Charges framed under IPC 379.",Closed
27,41,0001/2025,2025-10-06,Cheating & Fraud,IPC 420,12.990166,74.865438,"On 06-10-2025, Radha Palan approached the station to report that Jatin Malhotra cheated the victim of Rs. 24,000 near MG Road, Sullia at approximately 08:30 hrs. The accused was armed with acid. Investigation revealed prior criminal history of the accused. Case booked under Section 420.",Closed
28,22,0001/2024,2024-12-15,Assault,IPC 323,13.139663,77.678604,"On 15-12-2024, Sarthak Oommen approached the station to report that Amol Chander assaulted the victim near Temple Street, Doddaballapur at approximately 19:15 hrs. The accused was armed with a machete. Investigation revealed prior criminal history of the accused. Case booked under Section 323.",Chargesheeted
29,62,0001/2024,2024-09-06,Motor Vehicle Theft,IPC 379 r/w 411,17.259828,76.790329,"On 06-09-2024, at approximately 17:45 hrs, the complainant Gautam Varghese reported that Wishi Reddy committed motor vehicle theft near Main Circle, Afzalpur. The accused was armed with a glass bottle. The accused fled towards north on a bicycle. Case registered under IPC Section 379 r/w 411.",Under Investigation
30,121,0001/2025,2025-05-13,Kidnapping & Abduction,IPC 363,13.420308,75.869744,"An incident of kidnapping & abduction was reported on 13-05-2025 at Main Circle, Kadur. The victim Aarna Kamdar sustained minor injuries. Utkarsh Malhotra is identified as the primary suspect. The accused was armed with a country-made firearm. The matter is being investigated under IPC Section 363. Forensic team dispatched to the scene.",Closed
31,168,0001/2024,2024-10-25,Theft,IPC 379,12.298864,75.641987,"On 25-10-2024, Advika Balay approached the station to report that Advik Ranganathan committed theft of a two-wheeler near Temple Street, Virajpet at approximately 07:30 hrs. Investigation revealed prior criminal history of the accused. Case booked under Section 379.",Under Investigation
32,121,0002/2025,2025-06-14,Kidnapping & Abduction,IPC 363,13.431073,75.843518,"An incident of kidnapping & abduction was reported on 14-06-2025 at Hospital Road, Kadur. The victim Zansi Grewal sustained moderate injuries. Noah Chandran is identified as the primary suspect. The accused was armed with a sharp-edged weapon (knife). The matter is being investigated under IPC Section 363. Forensic team dispatched to the scene.",Under Investigation
33,105,0001/2025,2025-06-14,Burglary,IPC 457,12.925121,76.071129,"On 14-06-2025, Logan Sibal approached the station to report that Samesh Dasgupta entered the shop by breaking the lock near Commercial Street, Hassan City at approximately 18:45 hrs. Investigation revealed prior criminal history of the accused. Case booked under Section 457.",Closed
34,199,0001/2024,2024-11-29,Arms Act Violations,IPC 25 Arms Act,17.974269,77.485326,"An incident of arms act violations was reported on 29-11-2024 at Bypass Road, Bidar City. The victim Kashish Purohit sustained fatal injuries. Darsh Sant is identified as the primary suspect. The accused was armed with a sickle. The matter is being investigated under IPC Section 25 Arms Act. Forensic team dispatched to the scene.",Under Investigation
35,93,0001/2026,2026-01-11,Rioting,IPC 147,16.772839,75.712622,"On 11-01-2026, Ekantika Cheema approached the station to report that Jonathan Menon caused public disturbance near College Road, Vijayapura City at approximately 04:00 hrs. The accused was armed with a sharp-edged weapon (knife). Investigation revealed prior criminal history of the accused. Case booked under Section 147.",Convicted
36,119,0001/2024,2024-11-02,Theft,IPC 379,14.608891,74.572831,"On 02-11-2024, Abhiram Dutt approached the station to report that Patrick Murty stole valuables from the residence near Old Town, Joida at approximately 02:15 hrs. The accused was armed with a machete. Investigation revealed prior criminal history of the accused. Case booked under Section 379.",Closed
37,27,0001/2025,2025-12-16,Theft,IPC 379,13.322592,77.638182,"An incident of theft was reported on 16-12-2025 at Station Road, Bidadi. The victim Vaishnavi Natt sustained moderate injuries. Ekani Apte is identified as the primary suspect. The accused was armed with no weapon (verbal threat). The matter is being investigated under IPC Section 379. Forensic team dispatched to the scene.",Under Investigation
38,183,0001/2026,2026-05-12,Cheating & Fraud,IPC 420,15.466622,75.587256,"An incident of cheating & fraud was reported on 12-05-2026 at Hospital Road, Gadag Rural. The victim Harish Grover sustained life-threatening injuries. Balhaar Kale is identified as the primary suspect. The accused was armed with an iron rod. The matter is being investigated under IPC Section 420. Forensic team dispatched to the scene.",Convicted
39,8,0001/2024,2024-07-19,Burglary,IPC 457,12.900543,77.495376,"On 19-07-2024, Damini Gaba approached the station to report that Anirudh Sharma entered the shop by breaking the lock near Market Area, Yeshwanthpur at approximately 09:00 hrs. Investigation revealed prior criminal history of the accused. Case booked under Section 457.",Closed
40,112,0001/2026,2026-04-20,Assault,IPC 323,14.582232,74.653837,"The complainant Quincy Bains stated that on 20-04-2026 around 20:45 hrs, while at Old Town, Karwar, Vincent Ray along with 4 unknown accomplices assaulted the victim. The accused was armed with acid. Local witnesses identified the suspect. FIR filed under Section 323 IPC.",Acquitted
41,103,0001/2024,2024-09-25,Robbery,IPC 392,14.481877,75.850285,"The complainant Tanmayi Saran stated that on 25-09-2024 around 18:15 hrs, while at Hospital Road, Channagiri, Akshay Subramaniam along with 4 unknown accomplices snatched the mobile phone. The accused was armed with a country-made firearm. Local witnesses identified the suspect. FIR filed under Section 392 IPC.",Closed
42,104,0001/2024,2024-10-29,Arms Act Violations,IPC 25 Arms Act,14.35305,75.931159,"Received complaint from Urvashi Kohli regarding an incident on 29-10-2024. The accused Liam Edwin allegedly brandished an unlicensed weapon at College Road, Honnali during 19:45 hrs. The accused was armed with a country-made firearm. The accused was later identified through CCTV footage from nearby jewellery shop. Charges framed under IPC 25 Arms Act.",Under Investigation
43,168,0001/2026,2026-06-08,Theft,IPC 379,12.316414,75.643779,"Received complaint from Kashvi Nazareth regarding an incident on 08-06-2026. The accused Charles Sandal allegedly committed theft of a two-wheeler at Commercial Street, Virajpet during 08:00 hrs. The accused was armed with a sharp-edged weapon (knife). The accused was later identified through CCTV footage from nearby traffic signal. Charges framed under IPC 379.",Chargesheeted
44,99,0001/2025,2025-10-31,Dowry Death,IPC 304B,14.50793,76.013217,"An incident of dowry death was reported on 31-10-2025 at New Extension, Davangere City. The victim Nandini Mital sustained grievous injuries. Ekantika Dubey is identified as the primary suspect. The matter is being investigated under IPC Section 304B. Forensic team dispatched to the scene.",Convicted
45,12,0001/2026,2026-06-13,Theft,IPC 379,12.95337,77.606125,"On 13-06-2026, Vivaan Tripathi approached the station to report that Dakshesh Sengupta committed theft of a two-wheeler near College Road, Electronic City at approximately 03:45 hrs. Investigation revealed prior criminal history of the accused. Case booked under Section 379.",Acquitted
46,104,0001/2025,2025-12-04,Theft,IPC 379,14.387855,75.954198,"On 04-12-2025, Oviya Sandhu approached the station to report that Dalbir Goda stole valuables from the residence near Bus Stand, Honnali at approximately 21:45 hrs. The accused was armed with no weapon (verbal threat). Investigation revealed prior criminal history of the accused. Case booked under Section 379.",Chargesheeted
47,49,0001/2026,2026-04-06,Burglary,IPC 457,15.325559,75.094915,"On 06-04-2026, Nandini Balakrishnan approached the station to report that Vivaan Sood entered the shop by breaking the lock near Court Complex Area, Dharwad City at approximately 14:45 hrs. The accused was armed with a sharp-edged weapon (knife). Investigation revealed prior criminal history of the accused. Case booked under Section 457.",Chargesheeted
48,42,0001/2025,2025-10-31,Assault,IPC 323,12.859596,74.763211,"Received complaint from Yauvani Ganesan regarding an incident on 31-10-2025. The accused Teerth Pai allegedly assaulted the victim at Industrial Area, Belthangady during 00:45 hrs. The accused was armed with bare hands. The accused was later identified through CCTV footage from nearby shop. Charges framed under IPC 323.",Chargesheeted
49,97,0001/2025,2025-08-12,Cybercrime,IPC 66C IT Act,16.902207,75.696768,"Received complaint from Rushil Dewan regarding an incident on 12-08-2025. The accused Saksham Magar allegedly committed online impersonation at Station Road, Sindagi during 05:15 hrs. The accused was armed with bare hands. The accused was later identified through CCTV footage from nearby apartment complex. Charges framed under IPC 66C IT Act.",Convicted
50,110,0001/2024,2024-08-17,Assault,IPC 323,13.038057,76.16833,"Received complaint from Gauri Bhagat regarding an incident on 17-08-2024. The accused Laksh Narayan allegedly attacked without provocation at Ring Road, Channarayapatna during 07:30 hrs. The accused was armed with a machete. The accused was later identified through CCTV footage from nearby bank branch. Charges framed under IPC 323.",Chargesheeted
51,77,0002/2026,2026-03-19,Burglary,IPC 457,13.287063,77.121776,"The complainant Dayamai Dhaliwal stated that on 19-03-2026 around 14:30 hrs, while at Temple Street, Madhugiri, Januja Merchant along with 2 unknown accomplices entered the shop by breaking the lock. The accused was armed with a glass bottle. Local witnesses identified the suspect. FIR filed under Section 457 IPC.",Chargesheeted
52,72,0001/2025,2025-07-26,Theft,IPC 379,13.301529,77.050148,"An incident of theft was reported on 26-07-2025 at Hospital Road, Tumakuru City. The victim Tara Randhawa sustained moderate injuries. Patrick Karpe is identified as the primary suspect. The accused was armed with a machete. The matter is being investigated under IPC Section 379. Forensic team dispatched to the scene.",Closed
53,50,0001/2025,2025-12-12,Sexual Offences,IPC 376,15.727063,74.454605,"Received complaint from Triveni Acharya regarding an incident on 12-12-2025. The accused Gagan Kurian allegedly committed sexual assault at Agricultural Market Yard, Belagavi City during 03:30 hrs. The accused was armed with an iron rod. The accused was later identified through CCTV footage from nearby jewellery shop. Charges framed under IPC 376.",Under Investigation
54,11,0001/2024,2024-11-28,Robbery,IPC 392,12.993962,77.521572,"Received complaint from Sai Gera regarding an incident on 28-11-2024. The accused Jai Krishnan allegedly robbed gold ornaments from the victim at College Road, Marathahalli during 22:15 hrs. The accused was later identified through CCTV footage from nearby apartment complex. Charges framed under IPC 392.",Under Investigation
55,206,0001/2025,2025-02-22,Narcotics (NDPS Act),IPC 21(b) NDPS,16.744391,77.256995,"An incident of narcotics (ndps act) was reported on 22-02-2025 at New Extension, Yadgir Rural. The victim Damyanti Buch sustained grievous injuries. Upasna Datta is identified as the primary suspect. The accused was armed with a glass bottle. The matter is being investigated under IPC Section 21(b) NDPS. Forensic team dispatched to the scene.",Convicted
56,1,0001/2024,2024-11-09,Theft,IPC 379,12.919345,77.691003,"On 09-11-2024, Warinder Jani approached the station to report that Wriddhish Srinivas committed theft of a two-wheeler near Station Road, Cubbon Park at approximately 07:30 hrs. The accused was armed with a sickle. Investigation revealed prior criminal history of the accused. Case booked under Section 379.",Closed
57,194,0001/2026,2026-06-29,Assault,IPC 323,16.110005,75.62766,"An incident of assault was reported on 29-06-2026 at Lake View Area, Badami. The victim Gautam Konda sustained life-threatening injuries. Bahadurjit Pai is identified as the primary suspect. The accused was armed with a glass bottle. The matter is being investigated under IPC Section 323. Forensic team dispatched to the scene.",Closed
58,37,0002/2024,2024-11-09,Criminal Breach of Trust,IPC 406,12.797934,74.934124,"An incident of criminal breach of trust was reported on 09-11-2024 at Station Road, Mangaluru South. The victim Kavya Ahluwalia sustained moderate injuries. Ayush Khanna is identified as the primary suspect. The accused was armed with a country-made firearm. The matter is being investigated under IPC Section 406. Forensic team dispatched to the scene.",Under Investigation
59,108,0001/2024,2024-07-15,Rioting,IPC 147,13.022488,76.059576,"On 15-07-2024, at approximately 23:00 hrs, the complainant Nathaniel Padmanabhan reported that Ekansh Chad committed rioting near Agricultural Market Yard, Sakleshpur. The accused was armed with bare hands. The accused fled towards towards the bus stand on a goods tempo. Case registered under IPC Section 147.",Closed
60,31,0001/2025,2025-03-30,Robbery,IPC 392,12.261022,76.565266,"Received complaint from Urishilla Ramesh regarding an incident on 30-03-2025. The accused Fiyaz Dara allegedly snatched the mobile phone at Main Circle, Hunsur during 16:45 hrs. The accused was armed with a wooden stick (lathi). The accused was later identified through CCTV footage from nearby bank branch. Charges framed under IPC 392.",Under Investigation
61,12,0001/2025,2025-01-02,Theft,IPC 379,12.950777,77.533392,"An incident of theft was reported on 02-01-2025 at College Road, Electronic City. The victim Urmi Puri sustained minor injuries. Balhaar Buch is identified as the primary suspect. The accused was armed with a machete. The matter is being investigated under IPC Section 379. Forensic team dispatched to the scene.",Under Investigation
62,27,0002/2025,2025-06-08,Dowry Death,IPC 304B,13.313505,77.643579,"An incident of dowry death was reported on 08-06-2025 at Main Circle, Bidadi. The victim Xavier Char sustained grievous injuries. Pranav Gade is identified as the primary suspect. The accused was armed with acid. The matter is being investigated under IPC Section 304B. Forensic team dispatched to the scene.",Under Investigation
63,83,0001/2026,2026-03-12,Dacoity,IPC 395,13.887675,75.650675,"On 12-03-2026, Kabir Nadkarni approached the station to report that Maanav Mitra committed armed robbery with associates near Lake View Area, Sagar at approximately 06:15 hrs. Investigation revealed prior criminal history of the accused. Case booked under Section 395.",Under Investigation
64,83,0002/2025,2025-07-25,Motor Vehicle Theft,IPC 379 r/w 411,13.829502,75.617635,"On 25-07-2025, at approximately 03:15 hrs, the complainant Mugdha Narain reported that Nisha Chander committed motor vehicle theft near MG Road, Sagar. The accused was armed with a sharp-edged weapon (knife). The accused fled towards north on foot. Case registered under IPC Section 379 r/w 411.",Under Investigation
65,194,0001/2025,2025-03-23,Attempt to Murder,IPC 307,16.155189,75.632925,"Received complaint from Panini Ramesh regarding an incident on 23-03-2025. The accused Saanvi Kapadia allegedly attacked with intent to kill at Temple Street, Badami during 19:45 hrs. The accused was later identified through CCTV footage from nearby apartment complex. Charges framed under IPC 307.",Chargesheeted
66,156,0001/2025,2025-05-01,Theft,IPC 379,12.733244,77.219929,"The complainant Idika Suresh stated that on 01-05-2025 around 01:00 hrs, while at Ring Road, Kanakapura, Hemal Lad along with 4 unknown accomplices pilfered cash from the counter. Local witnesses identified the suspect. FIR filed under Section 379 IPC.",Chargesheeted
67,107,0001/2024,2024-11-23,Burglary,IPC 457,13.038636,76.066404,"On 23-11-2024, Tristan Gokhale approached the station to report that Simon Brar broke into the residence near Commercial Street, Belur at approximately 19:30 hrs. Investigation revealed prior criminal history of the accused. Case booked under Section 457.",Under Investigation
68,92,0001/2026,2026-03-22,Burglary,IPC 457,16.280759,77.409095,"The complainant Jyoti Pathak stated that on 22-03-2026 around 15:00 hrs, while at Nehru Road, Lingasugur, Oliver Bumb along with 5 unknown accomplices entered the shop by breaking the lock. The accused was armed with a sharp-edged weapon (knife). Local witnesses identified the suspect. FIR filed under Section 457 IPC.",Under Investigation
69,155,0001/2024,2024-12-04,Assault,IPC 323,12.756057,77.229933,"The complainant Yachana Agarwal stated that on 04-12-2024 around 12:00 hrs, while at Gandhi Nagar, Magadi, Darpan Misra along with 2 unknown accomplices caused hurt by punching. The accused was armed with acid. Local witnesses identified the suspect. FIR filed under Section 323 IPC.",Chargesheeted
70,109,0001/2026,2026-03-22,Theft,IPC 379,12.9757,76.137844,"Received complaint from Faras Karpe regarding an incident on 22-03-2026. The accused Harrison Biswas allegedly stole a mobile phone at Ring Road, Arsikere during 06:00 hrs. The accused was armed with a machete. The accused was later identified through CCTV footage from nearby petrol bunk. Charges framed under IPC 379.",Acquitted
71,67,0001/2025,2025-01-09,Burglary,IPC 457,15.038409,76.91863,"The complainant Xalak Guha stated that on 09-01-2025 around 21:45 hrs, while at Nehru Road, Ballari Rural, Kavya Chacko along with 2 unknown accomplices entered the shop by breaking the lock. Local witnesses identified the suspect. FIR filed under Section 457 IPC.",Chargesheeted
72,128,0001/2025,2025-11-04,Narcotics (NDPS Act),IPC 21(b) NDPS,13.307349,74.720953,"The complainant Siddharth Mittal stated that on 04-11-2025 around 06:45 hrs, while at Hospital Road, Kundapura, Mitesh Chawla along with 5 unknown accomplices was transporting illegal drugs. Local witnesses identified the suspect. FIR filed under Section 21(b) NDPS IPC.",Acquitted
73,63,0001/2025,2025-08-29,Counterfeiting,IPC 489A,17.238655,76.827462,"The complainant Girik Nori stated that on 29-08-2025 around 12:15 hrs, while at Lake View Area, Chincholi, Anamika Mutti along with 3 unknown accomplices manufactured spurious currency. The accused was armed with a sickle. Local witnesses identified the suspect. FIR filed under Section 489A IPC.",Under Investigation
74,158,0001/2026,2026-04-10,Arson,IPC 435,11.950864,76.982298,"An incident of arson was reported on 10-04-2026 at New Extension, Gundlupet. The victim Pranit Sandal sustained grievous injuries. Isha Taneja is identified as the primary suspect. The matter is being investigated under IPC Section 435. Forensic team dispatched to the scene.",Convicted
75,77,0001/2025,2025-02-15,Rioting,IPC 147,13.274123,77.118991,"On 15-02-2025, Bhavani Mukhopadhyay approached the station to report that Siya Varghese engaged in rioting and stone pelting near Bus Stand, Madhugiri at approximately 22:45 hrs. Investigation revealed prior criminal history of the accused. Case booked under Section 147.",Under Investigation
76,99,0002/2025,2025-05-16,Dowry Death,IPC 304B,14.461167,76.00222,"On 16-05-2025, at approximately 23:30 hrs, the complainant Vasana Banerjee reported that Dhruv Dave committed dowry death near Old Town, Davangere City. The accused was armed with a machete. The accused fled towards northeast on a bicycle. Case registered under IPC Section 304B.",Closed
77,116,0001/2025,2025-04-23,Burglary,IPC 457,14.706334,74.727172,"On 23-04-2025, at approximately 16:00 hrs, the complainant Oviya Gola reported that Anay Menon committed burglary near Gandhi Nagar, Honnavar. The accused fled towards towards the bus stand on a motorcycle. Case registered under IPC Section 457.",Convicted
78,120,0001/2026,2026-06-26,Kidnapping & Abduction,IPC 363,13.322406,75.727578,"On 26-06-2026, at approximately 14:15 hrs, the complainant Mitali Varughese reported that Brinda Kapur committed kidnapping & abduction near Commercial Street, Chikkamagaluru City. The accused was armed with acid. The accused fled towards north on a white Maruti car. Case registered under IPC Section 363.",Chargesheeted
79,191,0001/2026,2026-05-02,Dacoity,IPC 395,15.26392,76.210617,"Received complaint from Udyati Butala regarding an incident on 02-05-2026. The accused Nihal Dhar allegedly committed armed robbery with associates at Old Town, Yelburga during 20:00 hrs. The accused was armed with a sickle. The accused was later identified through CCTV footage from nearby ATM. Charges framed under IPC 395.",Under Investigation
80,122,0001/2025,2025-07-05,Arms Act Violations,IPC 25 Arms Act,13.416184,75.709034,"Received complaint from Harrison Ravel regarding an incident on 05-07-2025. The accused Nathaniel Kanda allegedly brandished an unlicensed weapon at College Road, Tarikere during 14:00 hrs. The accused was later identified through CCTV footage from nearby bank branch. Charges framed under IPC 25 Arms Act.",Under Investigation
81,134,0001/2026,2026-03-10,Burglary,IPC 457,14.219262,76.396405,"An incident of burglary was reported on 10-03-2026 at Lake View Area, Chitradurga Rural. The victim Naveen Nagar sustained minor injuries. Kashvi Dugar is identified as the primary suspect. The accused was armed with no weapon (verbal threat). The matter is being investigated under IPC Section 457. Forensic team dispatched to the scene.",Chargesheeted
82,20,0001/2025,2025-05-07,Arms Act Violations,IPC 25 Arms Act,13.000366,77.548974,"An incident of arms act violations was reported on 07-05-2025 at MG Road, Malleswaram. The victim Yashica Rajagopalan sustained life-threatening injuries. Atharv Choudhry is identified as the primary suspect. The accused was armed with a wooden stick (lathi). The matter is being investigated under IPC Section 25 Arms Act. Forensic team dispatched to the scene.",Convicted
83,206,0001/2026,2026-03-28,Theft,IPC 379,16.767949,77.20427,"An incident of theft was reported on 28-03-2026 at Gandhi Nagar, Yadgir Rural. The victim Advay Sunder sustained moderate injuries. Nakul Ahluwalia is identified as the primary suspect. The accused was armed with a sickle. The matter is being investigated under IPC Section 379. Forensic team dispatched to the scene.",Under Investigation
